196,7,301,17
197,8,349,17
198,9,401,17
199,10,473,17
200,11,521,17
201,12,573,17
202,1,2,18
203,2,49,18
204,3,103,18
205,4,175,18
206,5,221,18
207,6,273,18
208,7,325,18
209,8,377,18
210,9,453,18
211,10,505,18
212,11,557,18
213,12,605,18
214,1,2,19
215,2,55,19
216,3,107,19
217,4,179,19
218,5,231,19
219,6,283,19
220,7,331,19
221,8,391,19
222,9,467,19
223,10,529,19
224,11,581,19
225,12,633,19
226,1,2,20
227,2,63,20
228,3,119,20
229,4,163,20
230,5,209,20
231,6,269,20
232,7,323,20
233,8,389,20
234,9,449,20
235,10,517,20
236,11,571,20
237,12,631,20
238,1,2,21
239,2,59,21
240,3,113,21
241,4,186,21
242,5,231,21
243,6,265,21
244,7,317,21
245,8,371,21
246,9,423,21
247,10,491,21
248,11,551,21
249,12,593,21
250,1,1,22
251,2,47,22
252,3,97,22
253,4,161,22
254,5,215,22
255,6,267,22
256,7,327,22
257,8,395,22
258,9,477,22
259,10,541,22
260,11,497,22
261,12,651,22
262,1,1,23
263,2,69,23
264,3,117,23
265,4,177,23
266,5,235,23
267,6,283,23
268,7,333,23
269,8,387,23
270,9,467,23
271,10,533,23
272,11,593,23
273,12,645,23
274,1,1,24
275,2,77,24
276,3,135,24
277,4,209,24
278,5,251,24
279,6,299,24
280,7,351,24
281,8,415,24
282,9,499,24
283,10,583,24
284,11,635,24
285,12,717,24
286,1,1,25
287,2,81,25
288,3,159,25
289,4,229,25
290,5,315,25
291,6,419,25
292,7,475,25
293,8,549,25
294,9,623,25
295,10,709,25
296,11,783,25
297,12,863,25
298,1,1,26
299,2,63,26
300,3,139,26
301,4,197,26
302,5,263,26
303,6,321,26
304,7,383,26
305,8,429,26
306,9,493,26
307,10,583,26
308,11,659,26
309,12,733,26
310,1,1,27
311,2,77,27
312,3,139,27
313,4,245,27
314,5,307,27
315,6,395,27
316,7,461,27
317,8,523,27
318,9,619,27
319,10,697,27
320,11,783,27
321,12,837,27
322,1,3,28
323,2,53,28
324,3,121,28
325,4,205,28
326,5,267,28
